2,335
2,397
2,398
11,276
13,363
14,369
16,272
17,180
17,275
19,175
19,181
21,166
23,163
24,228
24,229
24,384
25,156
25,387
28,100
29,203
31,354
32,350
33,329
35,137
35,139
35,295
35,307
36,93
36,403
38,290
39,301
41,237
42,82
42,280
43,278
43,297
44,234
44,422
45,118
45,238
46,265
47,344
48,260
51,70
52,64
52,195
54,98
56,199
57,99
57,183
60,133
62,422
65,124
65,220
65,228
67,121
68,215
68,274
68,433
69,190
70,117
70,438
71,74
72,75
73,151
75,104
75,107
76,103
79,215
79,223
80,136
81,58
81,209
81,386
82,96
83,55
83,177
84,134
85,87
86,121
86,164
87,51
87,124
87,439
89,156
90,47
90,116
90,120
90,436
91,116
91,446
94,112
94,113
95,68
95,154
96,102
96,104
96,451
97,148
98,67
98,106
103,135
109,54
111,119
113,82
115,79
116,47
118,74
120,69
121,70
122,464
133,52
139,48
142,41
144,68
145,470
152,31
152,60
154,56
158,53
163,24
163,51
166,472
169,44
172,40
176,36
176,88
176,323
177,400
187,470
190,441
200,453
202,42
202,68
204,62
211,32
225,484
232,45
234,477
235,39
237,480
239,33
241,484
246,489
247,490
251,437
253,340
254,48
254,478
256,210
257,42
260,18
261,39
261,467
262,469
264,474
264,476
266,474
270,478
273,28
277,485
280,486
285,17
286,64
287,470
290,480
292,64
292,478
292,479
298,31
298,56
301,487
301,489
304,59
305,79
307,24
307,76
310,26
311,497
312,20
314,502
317,43
318,67
321,488
321,492
322,35
323,36
335,501
346,491
347,496
348,62
352,499
357,504
359,30
367,487
369,47
372,86
375,74
377,62
380,504
383,31
383,484
386,114
386,487
386,488
392,25
395,434
396,74
409,39
410,181
410,446
410,490
411,34
412,131
416,498
417,499
418,497
419,499
421,75
421,123
424,456
425,502
425,506
428,488
431,63
432,461
432,480
437,59
437,479
438,464
442,482
444,468
446,468
447,450
448,484
449,489
450,293
453,472
454,476
462,495
463,433
464,77
464,160
465,479
465,497
469,71
470,485
470,501
470,502
471,152
475,429
476,489
479,215
480,100
482,220
484,283
486,76
486,477
489,300
489,328
489,480
489,499
491,478
493,230
493,479
494,481
494,496
495,110
497,162
498,205
498,234
500,483
501,106
502,107
503,463
504,104
504,228
504,229
504,417
504,484
506,251
507,125
507,174
508,104
509,99
509,121
509,334
510,394
510,474
